
None,10,400,50,0.01,0.95,0.8656,0.8608
None,6,600,50,0.005,0.85,0.8742,0.8731
None,6,200,100,0.0005,0.95,0.862,0.8607
None,9,200,50,0.001,0.85,0.8648,0.8575
None,9,600,50,0.01,0.85,0.8534,0.8509
None,6,600,50,0.0005,0.95,0.8416,0.8469
None,8,400,200,0.0005,0.9,0.8786,0.8691
None,9,200,200,0.0005,0.85,0.86,0.8613
None,9,600,100,0.01,0.9,0.8468,0.8577
None,6,400,200,0.0005,0.85,0.878,0.8736
None,5,200,200,0.005,0.95,0.8672,0.861
None,9,400,100,0.0005,0.9,0.8676,0.8677
None,10,200,100,0.0005,0.9,0.8226,0.8241
None,8,200,100,0.005,0.85,0.8534,0.8524
None,10,400,150,0.01,0.85,0.8618,0.8446
None,8,200,100,0.0005,0.9,0.8484,0.848
None,6,200,100,0.005,0.9,0.8634,0.8665
None,9,200,100,0.001,0.9,0.838,0.8304
None,6,200,100,0.005,0.85,0.8642,0.8681
None,6,400,100,0.005,0.85,0.8694,0.8723
None,5,200,200,0.0005,0.95,0.855,0.8602
None,7,600,150,0.005,0.9,0.8582,0.852
None,8,600,200,0.01,0.95,0.8788,0.8674
