
None,8,200,200,0.0005,0.95,0.8612,0.8603
None,10,200,100,0.0005,0.85,0.8508,0.8434
None,5,600,150,0.01,0.9,0.858,0.8486
None,9,200,100,0.005,0.85,0.8472,0.8412
None,6,600,200,0.0005,0.95,0.8686,0.8715
None,5,200,100,0.005,0.85,0.8564,0.8581
None,9,600,150,0.001,0.95,0.8706,0.8593
None,5,600,100,0.0005,0.9,0.8814,0.8812
None,10,200,50,0.0005,0.95,0.8542,0.8535
None,5,200,100,0.001,0.95,0.8468,0.8437
None,9,200,100,0.001,0.9,0.8502,0.8511
None,7,200,150,0.001,0.85,0.8416,0.8338
None,9,200,100,0.01,0.85,0.8438,0.8453
None,8,400,200,0.005,0.85,0.8578,0.8552
None,10,600,100,0.001,0.85,0.8358,0.8285
None,8,200,200,0.01,0.85,0.8476,0.8513
None,7,400,150,0.0005,0.9,0.8736,0.8667
None,5,600,50,0.005,0.95,0.864,0.8591
None,10,400,200,0.001,0.9,0.8726,0.8665
None,8,200,200,0.0005,0.85,0.8668,0.8625
None,5,400,150,0.005,0.9,0.8612,0.8574
None,10,600,50,0.005,0.9,0.8116,0.8096
None,9,600,50,0.005,0.9,0.85,0.8584
None,8,400,50,0.001,0.95,0.8656,0.8668
None,5,400,50,0.0005,0.95,0.874,0.87
None,5,400,100,0.001,0.9,0.8648,0.868
None,8,400,50,0.005,0.95,0.8456,0.8422
None,5,400,150,0.0005,0.95,0.8856,0.8781
None,7,600,200,0.001,0.95,0.8578,0.8562
None,7,600,150,0.001,0.95,0.872,0.8611
None,5,600,200,0.0005,0.85,0.8732,0.8793
None,10,200,200,0.0005,0.85,0.8344,0.8263
None,10,200,50,0.005,0.95,0.8294,0.8271
None,10,400,200,0.001,0.85,0.859,0.8541
None,10,200,50,0.01,0.9,0.8366,0.8373
None,5,600,200,0.0005,0.95,0.875,0.8828
None,8,600,200,0.005,0.9,0.8764,0.8673
None,7,600,200,0.01,0.85,0.8868,0.8834
None,9,200,100,0.01,0.95,0.8404,0.8439
None,5,600,200,0.0005,0.95,0.8198,0.8152
None,6,200,100,0.0005,0.95,0.8412,0.8403
None,6,200,200,0.0005,0.9,0.8564,0.8538
None,7,200,50,0.005,0.95,0.8644,0.8618
None,9,200,100,0.0005,0.9,0.846,0.842
None,5,600,50,0.01,0.85,0.8756,0.8741
