Blackout,9,200,200,0.005,0.55,0.8076,0.8104
Blackout,7,400,50,0.001,0.55,0.7558,0.7534
Blackout,7,400,200,0.01,0.55,0.8022,0.7947
Blackout,8,400,200,0.005,0.55,0.8162,0.8066
Blackout,7,600,50,0.001,0.55,0.7864,0.7765
Blackout,7,600,100,0.005,0.55,0.8364,0.8344
Blackout,10,600,100,0.01,0.55,0.7768,0.7735
Blackout,7,200,100,0.01,0.55,0.772,0.7768
Blackout,8,600,200,0.0005,0.55,0.8162,0.8169
Blackout,7,200,50,0.01,0.55,0.7212,0.7223
Blackout,10,600,150,0.005,0.55,0.7824,0.7741
Blackout,5,200,150,0.001,0.55,0.7756,0.7847
Blackout,5,200,150,0.005,0.55,0.7836,0.7788
Blackout,5,200,150,0.005,0.55,0.7924,0.7901
Blackout,6,400,100,0.005,0.55,0.7922,0.7926
Blackout,8,400,150,0.01,0.55,0.7916,0.778
Blackout,8,200,100,0.005,0.55,0.7546,0.7557
Blackout,10,200,100,0.0005,0.55,0.7502,0.7447
Blackout,5,200,200,0.01,0.55,0.804,0.7987
Blackout,7,400,150,0.0005,0.55,0.8226,0.8212
Blackout,8,400,50,0.01,0.55,0.725,0.7346
Blackout,10,200,100,0.0005,0.55,0.7842,0.7874
Blackout,5,600,100,0.001,0.55,0.791,0.8071
Blackout,5,400,50,0.0005,0.55,0.7148,0.7033
Blackout,7,400,200,0.0005,0.55,0.8358,0.8303
Blackout,8,400,50,0.0005,0.55,0.7534,0.7513
Blackout,8,600,100,0.0005,0.55,0.798,0.799
Blackout,7,600,150,0.001,0.55,0.8122,0.8101
Blackout,9,400,50,0.01,0.55,0.7208,0.7169
Blackout,7,400,50,0.001,0.55,0.7516,0.7457
Blackout,9,400,100,0.005,0.55,0.7892,0.7841
Blackout,6,400,150,0.01,0.55,0.8312,0.8289
Blackout,5,600,50,0.001,0.55,0.7748,0.7698
Blackout,8,600,100,0.001,0.55,0.7966,0.7871
Blackout,8,400,150,0.01,0.55,0.7992,0.8131
Blackout,9,200,200,0.0005,0.55,0.7908,0.803
Blackout,10,200,100,0.001,0.55,0.7324,0.7239
Blackout,9,400,150,0.01,0.55,0.819,0.8056
Blackout,6,200,200,0.001,0.55,0.8034,0.8053
Blackout,7,200,150,0.001,0.55,0.7964,0.7991
Blackout,8,600,150,0.001,0.55,0.8378,0.8294
Blackout,7,400,200,0.0005,0.55,0.7696,0.7539
Blackout,5,200,200,0.01,0.55,0.7942,0.7994
Blackout,8,200,50,0.001,0.55,0.655,0.6618
Blackout,10,600,150,0.005,0.55,0.8184,0.7986
Blackout,6,200,50,0.0005,0.55,0.6968,0.692
Blackout,5,200,200,0.01,0.55,0.795,0.7974
Blackout,9,400,150,0.005,0.55,0.7872,0.7908
Blackout,7,200,200,0.0005,0.55,0.8094,0.7984
Blackout,6,200,150,0.005,0.55,0.7872,0.7784
