BlackoutParam, ValE, ValSD, TestE, TestSD
50, 0.8347899999999999, 0.008710562553589743, 0.828835, 0.012867761071763807
55, 0.8231499999999998, 0.014118339137448149, 0.8172649999999999, 0.012528219147189283
60, 0.83173, 0.01185382216839783, 0.8249150000000001, 0.012051318392607516
65, 0.81789, 0.010482265976400318, 0.8116800000000002, 0.011949627609260473
70, 0.8305999999999999, 0.011074475156864104, 0.82467, 0.012475820614292274
75, 0.8269599999999999, 0.011318939879688385, 0.822395, 0.011184832363518008
80, 0.8312100000000001, 0.007461762526374046, 0.82395, 0.008931153340974508
85, 0.82873, 0.006659812309667593, 0.82148, 0.008353059319794144
90, 0.82797, 0.008679003399008437, 0.8211, 0.01020784012413986
95, 0.82857, 0.015639600378526294, 0.8221749999999999, 0.013775589824032944
100, 0.8209799999999999, 0.01581390527352431, 0.8178700000000001, 0.015980334789984858
