BlackoutParam, ValE, ValSD, TestE, TestSD
50, 0.8203199999999999, 0.013155439939431883, 0.8160300000000001, 0.015084067753759273
55, 0.81288, 0.013798028844729958, 0.8092599999999999, 0.01325742810653711
60, 0.8091200000000001, 0.014712498088360112, 0.8061450000000001, 0.016984065326063717
65, 0.8116900000000001, 0.017581407793461817, 0.8072700000000002, 0.017919684707047728
70, 0.8284100000000001, 0.011748612684057644, 0.82567, 0.013103133213090666
75, 0.8288, 0.010862044006539466, 0.8247349999999999, 0.012811997307211711
80, 0.82319, 0.013057943942290456, 0.818475, 0.01392666058321233
85, 0.82142, 0.013243096314684106, 0.8190499999999998, 0.012951582914840947
90, 0.8122399999999999, 0.013666835771311519, 0.805925, 0.014446240860514535
95, 0.8150499999999999, 0.00951879719292306, 0.8101849999999999, 0.009342391289172159
100, 0.8154299999999999, 0.012223628757451688, 0.8104750000000001, 0.013865347994190405
